Date,Open,High,Low,Close,Adj Close,Volume
2021-09-10,167.809998,168.080002,167.149994,167.179993,167.179993,7426300
2021-09-13,167.449997,168.220001,167.399994,167.740005,167.740005,5474300
2021-09-14,168.220001,169.160004,167.479996,168.820007,168.820007,7922900
2021-09-15,168.130005,168.360001,167.449997,167.830002,167.830002,5624900
2021-09-16,164.380005,164.440002,163.229996,164.029999,164.029999,11780400
2021-09-17,163.860001,164.320007,163.399994,163.770004,163.770004,8369700
2021-09-20,164.289993,165.279999,164.070007,164.940002,164.940002,7566600
2021-09-21,165.809998,166.630005,165.490005,166.039993,166.039993,7181500
2021-09-22,165.889999,167.149994,165.029999,165.419998,165.419998,9777800
2021-09-23,164.100006,164.199997,163.270004,163.509995,163.509995,8451900
2021-09-24,163.000000,164.000000,162.740005,163.300003,163.300003,6937500
2021-09-27,163.850006,164.360001,163.509995,163.639999,163.639999,4943000
2021-09-28,162.729996,162.820007,161.729996,162.050003,162.050003,9282800
2021-09-29,162.350006,162.740005,160.970001,161.320007,161.320007,8360700
2021-09-30,162.660004,164.949997,162.339996,164.220001,164.220001,10572900
2021-10-01,164.270004,164.960007,163.889999,164.589996,164.589996,6654700
2021-10-04,163.690002,165.539993,163.470001,165.360001,165.360001,7651700
2021-10-05,163.940002,164.850006,163.490005,164.589996,164.589996,5617300
2021-10-06,164.229996,165.059998,164.149994,165.029999,165.029999,6067200
2021-10-07,164.020004,164.850006,163.960007,164.160004,164.160004,4791500
2021-10-08,166.320007,166.419998,164.139999,164.229996,164.229996,8536100
2021-10-11,164.039993,164.580002,163.910004,163.919998,163.919998,3820100
2021-10-12,164.570007,165.440002,164.309998,164.660004,164.660004,5453000
2021-10-13,165.279999,167.919998,165.279999,167.589996,167.589996,11113800
2021-10-14,168.190002,168.220001,167.710007,168.000000,168.000000,5081400
2021-10-15,165.389999,166.089996,165.100006,165.330002,165.330002,8699200
2021-10-18,165.419998,165.589996,164.809998,164.919998,164.919998,4029600
2021-10-19,166.500000,166.500000,165.199997,165.449997,165.449997,6588500
2021-10-20,166.210007,167.110001,165.929993,166.899994,166.899994,5022000
2021-10-21,166.699997,166.940002,166.240005,166.750000,166.750000,4412400
2021-10-22,168.669998,169.539993,166.669998,167.770004,167.770004,10703900
2021-10-25,168.660004,169.210007,168.529999,168.929993,168.929993,4881300
2021-10-26,167.880005,167.910004,166.630005,167.679993,167.679993,6658900
2021-10-27,167.729996,168.199997,166.860001,168.119995,168.119995,5823100
2021-10-28,168.979996,169.250000,167.529999,168.080002,168.080002,7000700
2021-10-29,166.289993,166.729996,165.639999,166.649994,166.649994,7531900
2021-11-01,167.380005,167.839996,166.910004,167.520004,167.520004,4975600
2021-11-02,167.429993,167.630005,166.960007,167.160004,167.160004,3760700
2021-11-03,165.339996,165.949997,164.380005,165.770004,165.770004,9055200
2021-11-04,167.509995,168.139999,167.369995,167.649994,167.649994,6656100
2021-11-05,168.419998,169.940002,167.850006,169.839996,169.839996,9368900
2021-11-08,170.429993,170.699997,170.059998,170.449997,170.449997,4966100
2021-11-09,170.729996,171.309998,170.119995,171.289993,171.289993,5781200
2021-11-10,173.669998,174.649994,172.110001,173.149994,173.149994,11461800
2021-11-11,173.979996,174.270004,173.740005,174.119995,174.119995,5959600
2021-11-12,173.509995,174.669998,173.399994,174.449997,174.449997,7894800
2021-11-15,174.100006,174.589996,173.690002,174.179993,174.179993,5630800
2021-11-16,173.970001,174.479996,172.860001,172.919998,172.919998,8667300
2021-11-17,174.240005,174.610001,173.889999,174.500000,174.500000,6523100
2021-11-18,173.960007,174.360001,173.529999,173.940002,173.940002,6252000
2021-11-19,173.690002,174.100006,172.240005,172.610001,172.610001,8785600
2021-11-22,169.899994,170.440002,168.419998,168.740005,168.740005,13091900
2021-11-23,167.279999,167.600006,166.529999,167.279999,167.279999,8047800
2021-11-24,166.580002,167.440002,166.320007,167.119995,167.119995,5359500
2021-11-26,168.600006,168.639999,166.369995,166.850006,166.850006,9605200
2021-11-29,166.839996,167.259995,166.380005,166.619995,166.619995,7394900
2021-11-30,167.770004,169.009995,165.369995,165.500000,165.500000,12925300
2021-12-01,166.839996,167.470001,166.059998,166.160004,166.160004,7808600
2021-12-02,165.889999,165.940002,164.630005,165.240005,165.240005,9604100
2021-12-03,165.490005,166.929993,165.000000,166.630005,166.630005,9507900
2021-12-06,166.139999,166.800003,165.929993,166.220001,166.220001,4813600
2021-12-07,166.199997,167.080002,166.179993,166.809998,166.809998,4900700
2021-12-08,166.509995,166.960007,166.279999,166.899994,166.899994,4288900
2021-12-09,166.539993,166.580002,165.649994,165.880005,165.880005,4913800
2021-12-10,166.720001,166.919998,166.179993,166.580002,166.580002,6450600
2021-12-13,166.899994,167.259995,166.669998,167.000000,167.000000,6610700
2021-12-14,165.339996,166.139999,165.160004,165.440002,165.440002,8637900
2021-12-15,165.270004,166.399994,163.800003,166.149994,166.149994,14231200
2021-12-16,167.009995,168.179993,166.940002,168.160004,168.160004,11186200
2021-12-17,168.729996,169.130005,167.779999,167.800003,167.800003,9856900
2021-12-20,167.880005,168.000000,167.059998,167.089996,167.089996,6973000
2021-12-21,167.690002,167.779999,166.740005,167.020004,167.020004,4548500
2021-12-22,167.580002,168.639999,167.110001,168.589996,168.589996,4672900
2021-12-23,168.690002,169.160004,168.009995,168.970001,168.970001,4551100
2021-12-27,168.960007,169.419998,168.779999,169.369995,169.369995,4760300
2021-12-28,169.330002,169.649994,168.619995,168.639999,168.639999,4541900
2021-12-29,167.360001,168.690002,167.279999,168.589996,168.589996,5889700
2021-12-30,168.429993,169.809998,168.369995,169.800003,169.800003,5426300
2021-12-31,170.529999,171.039993,170.039993,170.960007,170.960007,7039300
2022-01-03,168.860001,169.009995,168.000000,168.330002,168.330002,9014400
2022-01-04,168.899994,169.720001,168.729996,169.570007,169.570007,6965600
2022-01-05,170.619995,170.929993,168.899994,169.059998,169.059998,8715600
2022-01-06,167.160004,167.750000,166.860001,166.990005,166.990005,10902700
2022-01-07,167.369995,168.009995,166.860001,167.750000,167.750000,8191900
2022-01-10,167.360001,168.300003,167.309998,168.259995,168.259995,7026500
2022-01-11,168.440002,170.309998,168.369995,170.289993,170.289993,8369000
2022-01-12,170.190002,170.750000,170.009995,170.740005,170.740005,6280700
2022-01-13,170.089996,170.220001,169.270004,170.160004,170.160004,7034200
2022-01-14,170.220001,170.559998,169.479996,169.669998,169.669998,7865900
2022-01-18,169.639999,170.009995,169.089996,169.389999,169.389999,9322800
2022-01-19,170.389999,172.190002,170.199997,172.080002,172.080002,15784500
2022-01-20,172.309998,172.600006,171.589996,171.649994,171.649994,9570500
2022-01-21,172.039993,172.119995,170.740005,171.089996,171.089996,10982500
2022-01-24,171.779999,172.139999,170.850006,172.029999,172.029999,15727700
2022-01-25,171.949997,173.149994,171.779999,172.580002,172.580002,17382100
2022-01-26,171.389999,171.729996,169.479996,169.789993,169.789993,17799400
2022-01-27,168.020004,169.089996,167.330002,167.600006,167.600006,15867300
2022-01-28,166.559998,167.460007,166.369995,167.100006,167.100006,9782500
2022-01-31,167.789993,168.139999,167.460007,168.089996,168.089996,8539300
2022-02-01,168.570007,168.850006,167.869995,168.229996,168.229996,9763900
2022-02-02,168.339996,169.119995,168.160004,168.839996,168.839996,9085300
2022-02-03,168.309998,168.820007,167.029999,168.600006,168.600006,10650800
2022-02-04,168.039993,169.100006,167.990005,168.860001,168.860001,9619600
2022-02-07,169.449997,170.300003,169.190002,170.110001,170.110001,7796900
2022-02-08,170.100006,170.779999,169.949997,170.630005,170.630005,5802000
2022-02-09,170.679993,171.419998,170.550003,171.210007,171.210007,8002800
2022-02-10,170.520004,171.990005,170.460007,170.559998,170.559998,10693500
2022-02-11,170.750000,174.199997,170.710007,173.809998,173.809998,25741500
2022-02-14,173.779999,175.000000,173.679993,174.740005,174.740005,13650700
2022-02-15,173.100006,173.339996,172.389999,173.080002,173.080002,12603600
2022-02-16,173.490005,174.860001,173.479996,174.860001,174.860001,12772100
2022-02-17,176.699997,177.529999,176.389999,177.250000,177.250000,18612500
2022-02-18,177.070007,177.250000,176.509995,177.119995,177.119995,12760700
2022-02-22,177.669998,178.070007,176.820007,177.490005,177.490005,14960500
2022-02-23,177.389999,178.389999,177.360001,178.289993,178.289993,11772200
2022-02-24,182.589996,182.600006,175.270004,177.139999,177.139999,32726000
2022-02-25,176.419998,176.789993,175.789993,176.550003,176.550003,11530900
2022-02-28,178.860001,178.990005,176.500000,178.380005,178.380005,16055800
2022-03-01,179.050003,181.759995,179.029999,181.619995,181.619995,21942100
2022-03-02,180.130005,180.710007,178.789993,179.729996,179.729996,19727200
2022-03-03,179.960007,181.300003,179.500000,180.800003,180.800003,15164400
2022-03-04,182.110001,183.979996,181.360001,183.679993,183.679993,22390100
2022-03-07,184.449997,186.639999,184.220001,186.410004,186.410004,27951800
2022-03-08,188.350006,193.300003,188.259995,191.509995,191.509995,47347700
2022-03-09,186.039993,187.229996,184.759995,185.820007,185.820007,26839700
2022-03-10,186.880005,187.380005,184.990005,186.399994,186.399994,18455200
2022-03-11,183.740005,185.779999,183.440002,185.089996,185.089996,14824700
2022-03-14,183.029999,183.289993,181.949997,182.300003,182.300003,13186400
2022-03-15,179.100006,180.270004,178.009995,178.889999,178.889999,16962300
2022-03-16,179.130005,180.119995,176.869995,180.009995,180.009995,17548100
2022-03-17,181.160004,182.029999,180.649994,180.889999,180.889999,10954100
2022-03-18,179.929993,180.929993,179.039993,179.300003,179.300003,13996500
2022-03-21,179.330002,181.289993,179.320007,180.669998,180.669998,10582200
2022-03-22,179.600006,179.710007,178.320007,179.360001,179.360001,9621800
2022-03-23,180.289993,181.889999,179.759995,181.809998,181.809998,12557300
